"gender","race","parental_level_of_education","lunch","test_preparation_course","math_score","reading_score","writing_score"
"male","group D","some college","free/reduced","none","81","86","81"
"male","group D","bachelor's degree","free/reduced","completed","66","53","60"
"female","group B","high school","standard","completed","83","97","96"
"male","group E","high school","free/reduced","completed","75","71","71"
"male","group C","bachelor's degree","free/reduced","none","66","69","67"
"female","group E","some high school","free/reduced","none","74","92","83"
"female","group D","some high school","standard","completed","79","85","87"
"female","group C","high school","standard","none","81","93","88"
"male","group E","some high school","free/reduced","none","73","56","51"
"female","group B","some high school","standard","none","64","71","68"
"male","group A","high school","free/reduced","none","64","59","59"
"female","group B","associate's degree","free/reduced","completed","57","65","71"
"female","group B","some high school","standard","none","36","45","43"
"male","group D","some high school","free/reduced","none","48","56","49"
"male","group B","high school","standard","none","84","87","83"
"female","group D","some high school","standard","none","61","71","70"
"male","group B","some high school","standard","none","59","57","49"
"female","group C","associate's degree","free/reduced","completed","35","50","46"
"male","group E","high school","standard","none","78","69","67"
"female","group E","some college","standard","none","75","90","86"
"female","group E","associate's degree","free/reduced","none","70","68","72"
"female","group D","high school","free/reduced","completed","45","63","66"
"female","group E","some college","standard","none","68","77","73"
"male","group E","associate's degree","free/reduced","none","89","86","78"
"female","group D","associate's degree","free/reduced","none","55","72","77"
"male","group C","some college","free/reduced","completed","57","57","57"
"female","group B","associate's degree","standard","none","81","93","88"
"female","group D","associate's degree","standard","completed","66","75","76"
"female","group C","some college","free/reduced","completed","33","46","51"
"female","group C","associate's degree","free/reduced","completed","78","93","85"
"male","group D","some high school","free/reduced","none","82","77","69"
"male","group B","some high school","standard","completed","84","82","80"
"male","group B","some high school","free/reduced","none","40","34","32"
"female","group C","associate's degree","standard","completed","71","81","74"
"male","group C","some college","free/reduced","completed","86","87","87"
"female","group D","some high school","standard","none","51","72","75"
"female","group A","associate's degree","standard","none","78","81","77"
"female","group B","some college","standard","none","56","65","58"
"female","group A","some college","free/reduced","none","37","50","48"
"male","group E","some high school","standard","completed","81","81","80"
"male","group B","some high school","standard","completed","62","52","47"
"female","group C","high school","standard","completed","77","90","95"
"female","group E","some college","standard","none","67","81","75"
"female","group C","some college","standard","none","58","74","65"
"female","group C","some high school","standard","completed","68","93","89"
"female","group C","associate's degree","standard","none","75","80","80"
"female","group C","high school","standard","none","78","80","79"
"female","group D","some college","standard","none","72","66","76"
"male","group A","high school","standard","none","81","79","72"
"female","group C","associate's degree","free/reduced","none","27","40","37"
"male","group C","some college","standard","none","38","39","36"
"male","group D","associate's degree","free/reduced","none","53","46","41"
"female","group B","some high school","standard","none","79","92","87"
"female","group B","some college","standard","none","42","46","42"
"female","group A","high school","free/reduced","completed","51","66","62"
"female","group E","associate's degree","free/reduced","none","67","70","64"
"female","group A","high school","free/reduced","completed","69","82","82"
"female","group D","some college","standard","none","84","93","91"
"male","group C","some high school","free/reduced","none","64","64","53"
"male","group C","bachelor's degree","standard","none","60","60","58"
"male","group C","associate's degree","standard","completed","72","63","71"
"female","group A","high school","standard","none","54","66","61"
"male","group B","some college","standard","completed","59","48","52"
"male","group B","some college","standard","none","83","88","81"
"female","group C","high school","free/reduced","none","47","64","58"
"female","group C","bachelor's degree","standard","none","59","57","60"
"female","group C","high school","free/reduced","completed","70","77","80"
"male","group B","high school","free/reduced","none","44","46","36"
"female","group B","high school","standard","completed","83","88","88"
"female","group B","associate's degree","free/reduced","none","52","73","62"
"female","group D","some high school","free/reduced","completed","51","70","71"
"female","group B","bachelor's degree","standard","none","78","78","82"
"male","group E","bachelor's degree","standard","none","91","84","73"
"male","group C","bachelor's degree","standard","completed","98","96","97"
